entryDate,entryPrice,exitDate,exitPrice,pnl,volume,ratio
2017-01-09 14:30:00,2971.0,2017-01-09 21:31:00,3053.0,-866.6264,-1,-2.76001346348
2017-01-10 09:30:00,3061.0,2017-01-17 10:05:00,3299.0,2333.004,1,7.7752368507
2017-01-17 11:00:00,3326.0,2017-01-24 09:10:00,3237.0,842.7807,-1,2.67588695129
2017-01-24 10:15:00,3309.0,2017-02-03 09:01:00,3288.0,-257.2567,1,-0.634632819583
2017-02-06 09:30:00,3107.0,2017-02-07 13:36:00,3169.0,-666.9036,-1,-1.9954940457
2017-02-08 14:00:00,3214.0,2017-02-10 13:37:00,3273.0,-637.1357,-1,-1.83571873055
2017-02-10 13:45:00,3311.0,2017-02-16 14:28:00,3395.0,792.6234,1,2.53699788584
2017-02-17 09:30:00,3463.0,2017-02-22 13:31:00,3529.0,612.3088,1,1.90586196939
2017-02-22 13:45:00,3520.0,2017-02-24 14:40:00,3484.0,312.2956,-1,1.02272727273
2017-02-24 14:45:00,3491.0,2017-02-28 14:15:00,3537.0,412.2692,1,1.31767401891
2017-02-28 14:30:00,3548.0,2017-03-02 09:12:00,3576.0,-327.8364,-1,-0.789177001127
2017-03-02 11:30:00,3554.0,2017-03-03 14:30:00,3545.0,42.1911,-1,0.253235790658
2017-03-07 11:30:00,3493.0,2017-03-13 09:05:00,3438.0,502.3759,-1,1.57457772688
2017-03-13 09:30:00,3438.0,2017-03-16 10:15:00,3584.0,1412.2758,1,4.246655032
2017-03-16 10:45:00,3593.0,2017-03-20 09:15:00,3641.0,-527.9574,-1,-1.3359309769
2017-03-20 13:45:00,3620.0,2017-03-28 11:12:00,3097.0,5182.6113,-1,14.4475138122
2017-03-28 14:00:00,3078.0,2017-03-28 22:53:00,3127.0,-536.8255,-1,-1.59194282001
2017-03-29 09:30:00,3135.0,2017-03-31 13:40:00,3132.0,-76.8937,1,-0.0956937799043
2017-04-05 09:30:00,3252.0,2017-04-06 10:10:00,3177.0,-797.0719,1,-2.30627306273
2017-04-06 10:15:00,3180.0,2017-04-13 14:00:00,2961.0,2143.2449,-1,6.88679245283
2017-04-13 14:30:00,2937.0,2017-04-13 22:55:00,2995.0,-626.5252,-1,-1.974804222
2017-04-14 09:30:00,2972.0,2017-04-17 09:02:00,2899.0,-776.4581,1,-2.45625841184
2017-04-17 14:15:00,2906.0,2017-04-19 21:01:00,2886.0,153.6288,-1,0.688231245699
2017-04-20 09:45:00,2867.0,2017-04-20 14:41:00,2858.0,43.7025,-1,0.313916986397
2017-04-20 14:45:00,2866.0,2017-04-24 09:05:00,2872.0,13.6882,1,0.209351011863
2017-04-24 11:00:00,2860.0,2017-04-25 10:31:00,2944.0,-886.3844,-1,-2.93706293706
2017-04-26 15:00:00,2970.0,2017-04-27 21:01:00,3039.0,-736.6099,-1,-2.32323232323
2017-04-28 09:30:00,3068.0,2017-05-03 21:17:00,3083.0,103.2339,1,0.488917861799
2017-05-05 11:00:00,2929.0,2017-05-05 22:40:00,2989.0,-646.5098,-1,-2.04848071014
2017-05-08 09:30:00,3006.0,2017-05-11 09:19:00,3012.0,13.3802,1,0.199600798403
2017-05-11 14:00:00,2994.0,2017-05-12 13:35:00,2978.0,-206.5692,1,-0.534402137609
2017-05-12 13:45:00,2989.0,2017-05-15 09:01:00,3023.0,-386.6132,-1,-1.137504182
2017-05-15 09:30:00,3017.0,2017-05-23 13:37:00,3294.0,2723.0579,1,9.18130593305
2017-05-23 13:45:00,3298.0,2017-05-25 10:14:00,3285.0,82.7587,-1,0.394178289873
2017-05-25 10:15:00,3285.0,2017-05-26 09:05:00,3198.0,-917.1313,1,-2.64840182648
2017-05-26 10:00:00,3186.0,2017-05-31 09:10:00,3267.0,-857.0983,-1,-2.54237288136
2017-05-31 09:30:00,3225.0,2017-05-31 14:27:00,3147.0,-827.0092,1,-2.41860465116
2017-06-01 09:30:00,3118.0,2017-06-02 14:57:00,3021.0,-1016.7529,1,-3.1109685696
2017-06-02 15:00:00,3029.0,2017-06-06 21:52:00,2990.0,343.3791,-1,1.28755364807
2017-06-07 09:30:00,2956.0,2017-06-08 11:19:00,3000.0,-486.5516,-1,-1.48849797023
2017-06-08 11:30:00,3020.0,2017-06-13 11:12:00,2984.0,-406.6044,1,-1.19205298013
2017-06-13 11:15:00,2986.0,2017-06-14 11:26:00,2999.0,-176.5835,-1,-0.435365036839
2017-06-14 11:30:00,3010.0,2017-06-20 10:15:00,3107.0,923.2713,1,3.22259136213
2017-06-20 10:45:00,3112.0,2017-06-21 21:17:00,3113.0,-56.8475,-1,-0.0321336760925
